0	0.007398
1	0.012190
2	0.011669
3	0.012389
4	0.009116
5	0.006690
6	0.011603
7	0.006297
8	0.009720
9	0.009215
10	0.009532
11	0.007114
12	0.010170
13	0.010921
14	0.005644
15	0.011584
16	0.008570
17	0.011846
18	0.013229
19	0.006505
20	0.008080
21	0.012278
22	0.007967
23	0.011371
24	0.012608
25	0.011803
26	0.011838
27	0.007929
28	0.009687
29	0.011620
30	0.008880
31	0.012941
32	0.008752
33	0.012037
34	0.008005
35	0.008120
36	0.012834
37	0.009920
38	0.014235
39	0.013259
40	0.008278
41	0.013003
42	0.004620
43	0.013556
44	0.011018
45	0.011086
46	0.006515
47	0.008992
48	0.008310
49	0.008902
50	0.012329
51	0.012336
52	0.008055
53	0.010288
54	0.013324
55	0.010939
56	0.010018
57	0.008854
58	0.011638
59	0.008389
60	0.007034
61	0.011159
62	0.010104
63	0.006334
64	0.007150
65	0.013082
66	0.007343
67	0.010689
68	0.010021
69	0.014355
70	0.013599
71	0.012975
72	0.011175
73	0.015246
74	0.012572
75	0.005021
76	0.010298
77	0.006395
78	0.005613
79	0.004919
80	0.007157
81	0.008241
82	0.012131
83	0.008557
84	0.010303
85	0.013755
86	0.008627
87	0.008031
88	0.017175
89	0.010086
90	0.015830
91	0.007922
92	0.007171
93	0.010811
94	0.009308
95	0.011962
96	0.005494
97	0.007507
98	0.006635
99	0.012197
